title,price,link,category,storage,average_price,median_price
iPhone 13,2399,https://www.finn.no/bap/forsale/ad.html?finnkode=369320329,Regular,Unknown,4788.55,5000.00
iPhone 11 Pro,1600,https://www.finn.no/bap/forsale/ad.html?finnkode=370157613,Pro,Unknown,1964.12,2000.00
iPhone 11 128 gb,1800,https://www.finn.no/bap/forsale/ad.html?finnkode=360278839,Regular,128GB,2166.62,2000.00
Apple iPhone 11 (64GB - 71% batteri kapasitet),1900,https://www.finn.no/bap/forsale/ad.html?finnkode=369821770,Regular,64GB,1925.00,2200.00
iPhone 11  128 GB,1500,https://www.finn.no/bap/forsale/ad.html?finnkode=369820340,Regular,128GB,2166.62,2000.00
iPhone 11 64Gb,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=369739233,Regular,64GB,1890.70,1950.00
iPhone 11,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=369410952,Regular,Unknown,2029.98,2000.00
iPhone 11 svart 128GB,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=367489917,Regular,128GB,2166.62,2000.00
iPhone 12 128GB,2300,https://www.finn.no/bap/forsale/ad.html?finnkode=369278478,Regular,128GB,2975.00,2350.00
iPhone 11 pro,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=369237818,Pro,Unknown,1964.12,2000.00
iPhone 11 pro,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=369204536,Pro,Unknown,1964.12,2000.00
iPhone 11 pro 256 GB,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=339590612,Pro,256GB,2224.88,2150.00
Apple iPhone 13 - Rød,2100,https://www.finn.no/bap/forsale/ad.html?finnkode=369119969,Regular,Unknown,5099.95,5000.00
Apple iPhone 11 PRO MAX,1700,https://www.finn.no/bap/forsale/ad.html?finnkode=369118858,Pro Max,Unknown,9373.46,9749.50
iPhone 11 128GB,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=369092815,Regular,128GB,2166.62,2000.00
Ikke lenge brukt iPhone 11 med lader,1900,https://www.finn.no/bap/forsale/ad.html?finnkode=369051968,Regular,Unknown,1900.00,1900.00
iPhone 11,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=368972396,Regular,Unknown,2029.98,2000.00
iPhone 11 pro Max og iPhone 11,1000,https://www.finn.no/bap/forsale/ad.html?finnkode=368893032,Pro Max,Unknown,2262.44,2000.00
Apple iPhone 12 64GB - sort,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=351267725,Regular,64GB,1925.00,2200.00
iPhone 11 128 GB,2500,https://www.finn.no/bap/forsale/ad.html?finnkode=368774286,Regular,128GB,2166.62,2000.00
iPhone 12,1800,https://www.finn.no/bap/forsale/ad.html?finnkode=368724912,Regular,Unknown,2613.59,2500.00
iPhone 11 svart 64 Gb,2200,https://www.finn.no/bap/forsale/ad.html?finnkode=368572829,Regular,64GB,1890.70,1950.00
iPhone 11 64GB White NYTT PRIS!!!,2300,https://www.finn.no/bap/forsale/ad.html?finnkode=330566107,Regular,64GB,1890.70,1950.00
iPhone 11 pro 250 GB,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=368409059,Pro,256GB,2224.88,2150.00
iPhone 11 64gb,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=368313964,Regular,64GB,1890.70,1950.00
iPhone 11 128gb,2000,https://www.finn.no/bap/forsale/ad.html?finnkode=368107937,Regular,128GB,2166.62,2000.00
