title,price,link,category,storage
iPhone 11 pro Max,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371133520,Regular,Unknown
iPhone 12 128GB,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=358557474,Regular,128GB
iPhone 11 pro 64gb,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=371023858,Regular,64GB
iPhone 12,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370985920,Regular,Unknown
iPhone 11 Pro 64MB,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370979466,Pro,Unknown
iPhone 11 64GB,2 100 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370826796,Regular,64GB
iPhone 11 pro Max 64gb,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370802112,Regular,64GB
iPhone 11 PRO,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370715822,Regular,Unknown
iPhone 11 med 128 GB,1 800 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370639975,Regular,128GB
iPhone 11 128GB,2 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370577211,Regular,128GB
iPhone 11 Pro 64 GB,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370516485,Pro,64GB
iPhone 11 pro Max,1 200 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370510385,Regular,Unknown
iPhone 11 128gb,1 700 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370431427,Regular,128GB
iPhone 11 64GB (Reservert),2 400 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370420908,Regular,64GB
iPhone 12 Pro Max,1 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370390521,Pro Max,Unknown
iPhone 12,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370378210,Regular,Unknown
iPhone 11 128GB,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=361079312,Regular,128GB
iPhone 13,2 399 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369320329,Regular,Unknown
iPhone 11 Pro,1 600 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=370157613,Pro,Unknown
Apple iPhone 12 Mini 128 GB Grønn,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=335525074,Regular,128GB
iPhone 11 128 gb,1 800 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=360278839,Regular,128GB
Ideal of Sweden- Necklace Case for iPhone 13 Pro- Black Croco- NY!,500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=273742624,Pro,Unknown
Apple iPhone 11 (64GB - 71% batteri kapasitet),1 900 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369821770,Regular,64GB
iPhone 11  128 GB,1 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369820340,Regular,128GB
iPhone 11 64Gb,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369739233,Regular,64GB
iPhone 11,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369410952,Regular,Unknown
iPhone 11 svart 128GB,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=367489917,Regular,128GB
iPhone 12 128 GB selges billig,1 700 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369312710,Regular,128GB
iPhone 12 128GB,2 300 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369278478,Regular,128GB
iPhone 11 pro,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369237818,Regular,Unknown
iPhone 11 pro,2 000 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369204536,Regular,Unknown
iPhone 11 pro 256 GB,2 500 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=339590612,Regular,256GB
Apple iPhone 13 - Rød,2 100 kr,https://www.finn.no/bap/forsale/ad.html?finnkode=369119969,Regular,Unknown
